Column1,Column2,Column3,Column4
-135.94,-296.543,18.01,38.483
-135.77,-297.722,17.801,38.55
-135.612,-298.891,17.642,38.617
-135.467,-300.054,17.528,38.684
-135.335,-301.212,17.456,38.751
-135.216,-302.369,17.419,38.818
-135.111,-303.526,17.414,38.885
-135.02,-304.685,17.435,38.952
-134.936,-305.847,17.48,39.019
-134.859,-307.013,17.544,39.086
-134.792,-308.185,17.623,39.153
-134.737,-309.363,17.715,39.22
-134.695,-310.548,17.813,39.287
-134.665,-311.739,17.898,39.354
-134.644,-312.935,17.948,39.421
-134.632,-314.131,17.938,39.488
-134.632,-315.323,17.86,39.555
-134.645,-316.506,17.718,39.622
-134.672,-317.677,17.527,39.689
-134.713,-318.834,17.31,39.756
-134.763,-319.976,17.087,39.823
-134.822,-321.104,16.881,39.89
-134.891,-322.219,16.713,39.957
-134.973,-323.325,16.595,40.024
-135.067,-324.424,16.521,40.091
-135.175,-325.519,16.485,40.158
-135.295,-326.612,16.484,40.225
-135.43,-327.705,16.509,40.292
-135.578,-328.798,16.558,40.359
-135.735,-329.895,16.629,40.426
-135.902,-330.995,16.707,40.493
-136.081,-332.097,16.772,40.56
-136.274,-333.2,16.801,40.627
-136.481,-334.3,16.78,40.694
-136.702,-335.393,16.703,40.761
-136.938,-336.475,16.576,40.828
-137.187,-337.543,16.411,40.895
-137.45,-338.596,16.228,40.962
-137.726,-339.632,16.045,41.029
-138.015,-340.654,15.881,41.096
-138.319,-341.662,15.753,41.163
-138.637,-342.658,15.669,41.23
-138.966,-343.648,15.629,41.297
-139.307,-344.633,15.626,41.364
-139.663,-345.613,15.651,41.431
-140.036,-346.591,15.7,41.498
-140.426,-347.566,15.761,41.565
-140.834,-348.537,15.814,41.632
-141.261,-349.502,15.842,41.699
-141.707,-350.459,15.832,41.766
-142.17,-351.404,15.776,41.833
-142.65,-352.335,15.686,41.9
-143.146,-353.25,15.588,41.967
-143.655,-354.151,15.514,42.034
-144.173,-355.043,15.483,42.101
-144.699,-355.931,15.488,42.168
-145.231,-356.818,15.524,42.235
-145.768,-357.706,15.585,42.302
-146.311,-358.596,15.667,42.369
-146.86,-359.491,15.766,42.436
-147.415,-360.39,15.879,42.503
-147.975,-361.295,16.003,42.57
-148.542,-362.206,16.135,42.637
-149.116,-363.123,16.276,42.704
-149.696,-364.048,16.422,42.771
-150.284,-364.98,16.574,42.838
-150.879,-365.919,16.729,42.905
-151.474,-366.87,16.887,42.972
-152.069,-367.834,17.049,43.039
-152.669,-368.808,17.213,43.106
-153.275,-369.791,17.38,43.173
-153.888,-370.783,17.548,43.24
-154.509,-371.782,17.717,43.307
-155.118,-372.802,17.873,43.374
-155.719,-373.839,18.042,43.441
-156.319,-374.89,18.21,43.508
-156.917,-375.955,18.377,43.575
-157.513,-377.033,18.545,43.642
-158.108,-378.125,18.713,43.709
-158.708,-379.227,18.883,43.776
-159.328,-380.331,19.05,43.843
-159.966,-381.438,19.219,43.91
-160.621,-382.548,19.387,43.977
-161.283,-383.666,19.555,44.044
-161.936,-384.802,19.717,44.111
-162.58,-385.957,19.88,44.178
-163.221,-387.124,20.037,44.245
-163.861,-388.303,20.175,44.312
-164.497,-389.494,20.293,44.379
-165.133,-390.692,20.393,44.446
-165.783,-391.89,20.476,44.513
-166.447,-393.087,20.553,44.58
-167.106,-394.291,20.629,44.647
-167.755,-395.507,20.709,44.714
-168.394,-396.734,20.799,44.781
-169.03,-397.971,20.897,44.848
-169.661,-399.218,21,44.915
-170.286,-400.476,21.107,44.982
-170.922,-401.737,21.22,45.049
-171.571,-402.999,21.339,45.116
-172.218,-404.272,21.456,45.183
-172.853,-405.558,21.549,45.25
-173.476,-406.855,21.588,45.317
-174.088,-408.155,21.551,45.384
-174.688,-409.454,21.43,45.451
-175.275,-410.745,21.237,45.518
-175.848,-412.026,20.993,45.585
-176.409,-413.294,20.721,45.652
-176.955,-414.548,20.448,45.719
-177.485,-415.791,20.198,45.786
-178.014,-417.02,19.991,45.853
-178.545,-418.234,19.828,45.92
-179.08,-419.438,19.704,45.987
-179.6,-420.641,19.618,46.054
-180.1,-421.848,19.564,46.121
-180.584,-423.059,19.54,46.188
-181.051,-424.276,19.539,46.255
-181.51,-425.497,19.562,46.322
-181.961,-426.723,19.601,46.389
-182.402,-427.956,19.655,46.456
-182.838,-429.196,19.726,46.523
-183.266,-430.443,19.806,46.59
-183.681,-431.701,19.895,46.657
-184.085,-432.969,19.994,46.724
-184.477,-434.248,20.098,46.791
-184.855,-435.538,20.207,46.858
-185.218,-436.84,20.32,46.925
-185.571,-438.153,20.441,46.992
-185.915,-439.477,20.565,47.059
-186.252,-440.812,20.695,47.126
-186.584,-442.157,20.829,47.193
-186.906,-443.514,20.965,47.26
-187.224,-444.881,21.106,47.327
-187.537,-446.259,21.249,47.394
-187.842,-447.648,21.391,47.461
-188.142,-449.049,21.537,47.528
-188.438,-450.46,21.683,47.595
-188.733,-451.882,21.831,47.662
-189.024,-453.314,21.978,47.729
-189.309,-454.758,22.125,47.796
-189.59,-456.212,22.273,47.863
-189.868,-457.677,22.421,47.93
-190.144,-459.152,22.569,47.997
-190.437,-460.634,22.704,48.064
-190.741,-462.122,22.819,48.131
-191.055,-463.613,22.883,48.198
-191.371,-465.105,22.884,48.265
-191.691,-466.593,22.814,48.332
-191.997,-468.076,22.685,48.399
-192.283,-469.552,22.518,48.466
-192.556,-471.019,22.334,48.533
-192.817,-472.476,22.16,48.6
-193.07,-473.925,22.016,48.667
-193.315,-475.367,21.906,48.734
-193.55,-476.805,21.827,48.801
-193.781,-478.239,21.777,48.868
-194.006,-479.673,21.752,48.935
-194.23,-481.106,21.75,49.002
-194.469,-482.538,21.763,49.069
-194.726,-483.968,21.793,49.136
-194.989,-485.4,21.838,49.203
-195.259,-486.833,21.893,49.27
-195.531,-488.271,21.961,49.337
-195.787,-489.716,22.034,49.404
-196.031,-491.17,22.123,49.471
-196.264,-492.631,22.216,49.538
-196.485,-494.099,22.31,49.605
-196.701,-495.576,22.411,49.672
-196.911,-497.06,22.515,49.739
-197.12,-498.551,22.622,49.806
-197.326,-500.049,22.717,49.873
-197.543,-501.551,22.781,49.94
-197.777,-503.053,22.8,50.007
-198.019,-504.552,22.765,50.074
-198.268,-506.045,22.678,50.141
-198.518,-507.529,22.555,50.208
-198.771,-509.004,22.414,50.275
-199.01,-510.473,22.275,50.342
-199.231,-511.935,22.157,50.409
-199.443,-513.393,22.069,50.476
-199.645,-514.848,22.009,50.543
-199.835,-516.302,21.972,50.61
-200.022,-517.754,21.96,50.677
-200.203,-519.208,21.967,50.744
-200.393,-520.662,21.992,50.811
-200.598,-522.116,22.033,50.878
-200.816,-523.572,22.086,50.945
-201.04,-525.031,22.15,51.012
-201.269,-526.493,22.221,51.079
-201.489,-527.962,22.3,51.146
-201.694,-529.439,22.38,51.213
-201.884,-530.921,22.433,51.28
-202.066,-532.406,22.434,51.347
-202.237,-533.889,22.364,51.414
-202.404,-535.363,22.226,51.481
-202.563,-536.827,22.033,51.548
-202.733,-538.275,21.801,51.615
-202.917,-539.705,21.552,51.682
-203.108,-541.118,21.307,51.749
-203.305,-542.515,21.089,51.816
-203.501,-543.899,20.914,51.883
-203.698,-545.274,20.778,51.95
-203.899,-546.64,20.678,52.017
-204.086,-548.004,20.609,52.084
-204.255,-549.367,20.57,52.151
-204.407,-550.73,20.555,52.218
-204.552,-552.094,20.564,52.285
-204.691,-553.46,20.589,52.352
-204.829,-554.828,20.633,52.419
-204.966,-556.2,20.691,52.486
-205.097,-557.577,20.762,52.553
-205.239,-558.958,20.831,52.62
-205.397,-560.341,20.878,52.687
-205.569,-561.722,20.876,52.754
-205.744,-563.1,20.815,52.821
