Column1,Column2,Column3
-147.5026309,-261.7062994,18.69409206
-147.0104962,-262.5928744,18.6538701
-146.5328658,-263.4826016,18.61381408
-146.0710734,-264.3730413,18.71412037
-145.6173117,-265.2782721,18.81537957
-145.1790297,-266.1824721,18.91586184
-144.7486828,-267.1002483,19.01722809
-144.3334458,-268.0153531,19.11771881
-143.9260384,-268.942888,19.21902537
-143.533361,-269.8662101,19.31936077
-143.1483986,-270.8008826,19.35851003
-142.7777766,-271.7298965,19.31066432
-142.4147464,-272.6692449,19.2624912
-142.0593801,-273.6186201,19.21400011
-141.717889,-274.560504,19.16607474
-141.383928,-275.5114713,19.11786121
-141.0575654,-276.4712304,19.0693689
-140.7445949,-277.4218108,19.02149627
-140.4390791,-278.3803091,18.97337323
-140.1410826,-279.3464493,18.925009
-139.8506698,-280.3199555,18.8764129
-139.5730719,-281.2823298,18.82850035
-139.3029026,-282.2512729,18.78038245
-139.0402229,-283.2265241,18.73206824
-138.7850939,-284.2078223,18.68356681
-138.5375765,-285.1949067,18.63488729
-138.3021857,-286.1687383,18.58696203
-138.0742383,-287.1476421,18.5388829
-137.8537921,-288.1313718,18.49065864
-137.6409044,-289.119681,18.44229802
-137.4356331,-290.112323,18.39380986
-137.2380356,-291.1090517,18.34520296
-137.0481696,-292.1096205,18.29648616
-136.8695204,-293.0944397,18.24860801
-136.6984179,-294.0824834,18.20064101
-136.5349166,-295.0735188,18.15259351
-136.3790706,-296.0673136,18.10447386
-136.2309345,-297.0636353,18.05629041
-136.0905626,-298.0622513,18.0080515
-135.9580091,-299.0629293,17.95976545
-135.8333285,-300.0654366,17.91144057
-135.716575,-301.0695409,17.86308514
-135.6078031,-302.0750097,17.81470743
-135.5070672,-303.0816104,17.76631568
-135.4144214,-304.0891106,17.71791808
-135.3299203,-305.0972778,17.66952281
-135.2536181,-306.1058795,17.62113799
-135.1855692,-307.1146832,17.57277171
-135.1258279,-308.1234565,17.524432
-135.0744486,-309.1319669,17.47612685
-135.0314857,-310.1399818,17.42786419
-134.9969935,-311.1472688,17.37965188
-134.9710263,-312.1535955,17.33149773
-134.9536385,-313.1587292,17.28340948
-134.9448844,-314.1624376,17.23539477
-134.9448185,-315.1644882,17.1874612
-134.953495,-316.1646484,17.13961624
-134.9713991,-317.1822324,17.09093208
-134.9985061,-318.1973631,17.0423555
-135.0348734,-319.209794,16.99389414
-135.0805587,-320.2192789,16.94555552
-135.1356195,-321.2255711,16.89734704
-135.2001136,-322.2284243,16.84927597
-135.2740984,-323.227592,16.80134944
-135.3593321,-324.2419269,16.75265724
-135.4545459,-325.2519162,16.70412969
-135.5598009,-326.2572992,16.65577387
-135.6751581,-327.2578149,16.60759665
-135.8006784,-328.2532023,16.55960472
-135.9390829,-329.2618263,16.51090458
-136.0881655,-330.2645798,16.46241014
-136.2479907,-331.261187,16.41412781
-136.4186232,-332.2513718,16.3660637
-136.6001273,-333.2348582,16.31822369
-136.796235,-334.2293864,16.26973387
-137.0037558,-335.216388,16.22148788
-137.2227579,-336.1955714,16.17349093
-137.4576087,-337.1842241,16.12488224
-137.7045048,-338.1641616,16.07654152
-137.9635182,-339.1350762,16.02847309
-138.2396748,-340.1137445,15.97982992
-138.5285356,-341.0824214,15.93147642
-138.8301767,-342.0407822,15.88341561
-139.1503064,-343.0050322,15.83481464
-139.4838271,-343.9579229,15.78652124
-139.8308188,-344.8991124,15.73853672
-140.1976969,-345.844171,15.6900424
-140.5786814,-346.7764077,15.64186814
-140.9738563,-347.6954625,15.59401293
-141.3903692,-348.6162043,15.54567189
-141.8217333,-349.5225629,15.49765591
-142.2756024,-350.4288923,15.44916879
-142.7450062,-351.3195659,15.54984845
-143.234361,-352.2046059,15.65098025
-143.7260986,-353.0824082,15.75159549
-144.2182192,-353.9579652,15.85203367
-144.7106736,-354.8313481,15.95229877
-145.2034128,-355.702628,16.05239475
-145.705038,-356.5871083,16.15407726
-146.2068555,-357.4695599,16.25559285
-146.7088134,-358.3500576,16.3569456
-147.2108601,-359.2286763,16.45813956
-147.7129438,-360.1054911,16.55917877
-148.2150127,-360.9805768,16.66006724
-148.7170152,-361.8540085,16.76080895
-149.2188994,-362.7258609,16.86140788
-149.7206137,-363.5962092,16.96186799
-150.2221063,-364.4651282,17.06219321
-150.7233254,-365.3326928,17.16238748
-151.2242194,-366.1989781,17.2624547
-151.7333625,-367.078964,17.36412091
-152.2420611,-367.9577824,17.46566381
-152.7502607,-368.8355122,17.5670875
-153.2579069,-369.7122324,17.66839609
-153.7649453,-370.5880217,17.76959366
-154.2713213,-371.4629592,17.87068433
