Column1,Column2,Column3,Column4
-181.024,-67.438,16.26,25.619
-181.033,-68.526,16.37,25.686
-181.035,-69.622,16.468,25.753
-181.027,-70.724,16.576,25.82
-181.017,-71.833,16.678,25.887
-181.012,-72.95,16.79,25.954
-181.006,-74.074,16.898,26.021
-180.992,-75.205,17.018,26.088
-180.978,-76.344,17.132,26.155
-180.972,-77.492,17.257,26.222
-180.964,-78.647,17.375,26.289
-180.95,-79.811,17.502,26.356
-180.936,-80.983,17.621,26.423
-180.929,-82.163,17.746,26.49
-180.922,-83.351,17.862,26.557
-180.908,-84.546,17.984,26.624
-180.894,-85.75,18.097,26.691
-180.888,-86.961,18.216,26.758
-180.88,-88.18,18.325,26.825
-180.866,-89.406,18.425,26.892
-180.853,-90.637,18.48,26.959
-180.846,-91.868,18.479,27.026
-180.838,-93.096,18.402,27.093
-180.824,-94.316,18.26,27.16
-180.81,-95.523,18.067,27.227
-180.804,-96.717,17.844,27.294
-180.797,-97.895,17.615,27.361
-180.783,-99.059,17.401,27.428
-180.77,-100.211,17.227,27.495
-180.763,-101.354,17.101,27.562
-180.756,-102.491,17.017,27.629
-180.742,-103.624,16.973,27.696
-180.728,-104.755,16.959,27.763
-180.722,-105.888,16.978,27.83
-180.715,-107.022,17.015,27.897
-180.7,-108.16,17.077,27.964
-180.687,-109.302,17.149,28.031
-180.68,-110.45,17.235,28.098
-180.673,-111.602,17.299,28.165
-180.659,-112.757,17.335,28.232
-180.645,-113.912,17.314,28.299
-180.638,-115.062,17.237,28.366
-180.631,-116.205,17.106,28.433
-180.617,-117.337,16.936,28.5
-180.604,-118.457,16.746,28.567
-180.598,-119.564,16.553,28.634
-180.591,-120.66,16.38,28.701
-180.577,-121.745,16.244,28.768
-180.564,-122.824,16.152,28.835
-180.558,-123.9,16.105,28.902
-180.551,-124.973,16.09,28.969
-180.537,-126.047,16.11,29.036
-180.524,-127.124,16.149,29.103
-180.518,-128.204,16.213,29.17
-180.511,-129.288,16.272,29.237
-180.497,-130.376,16.321,29.304
-180.484,-131.465,16.331,29.371
-180.477,-132.552,16.301,29.438
-180.47,-133.635,16.219,29.505
-180.457,-134.71,16.097,29.572
-180.443,-135.776,15.945,29.639
-180.437,-136.831,15.779,29.706
-180.431,-137.876,15.618,29.773
-180.417,-138.91,15.477,29.84
-180.405,-139.937,15.37,29.907
-180.399,-140.959,15.307,29.974
-180.393,-141.979,15.281,30.041
-180.379,-142.999,15.294,30.108
-180.366,-144.021,15.328,30.175
-180.36,-145.045,15.381,30.242
-180.354,-146.073,15.424,30.309
-180.34,-147.104,15.453,30.376
-180.327,-148.134,15.445,30.443
-180.322,-149.161,15.4,30.51
-180.315,-150.184,15.313,30.577
-180.302,-151.199,15.195,30.644
-180.289,-152.206,15.057,30.711
-180.284,-153.203,14.912,30.778
-180.278,-154.19,14.777,30.845
-180.264,-155.17,14.664,30.912
-180.252,-156.144,14.583,30.979
-180.247,-157.115,14.542,31.046
-180.241,-158.084,14.533,31.113
-180.227,-159.055,14.557,31.18
-180.215,-160.027,14.589,31.247
-180.21,-161.002,14.627,31.314
-180.204,-161.979,14.646,31.381
-180.19,-162.955,14.645,31.448
-180.178,-163.93,14.607,31.515
-180.173,-164.901,14.537,31.582
-180.167,-165.865,14.438,31.649
-180.153,-166.822,14.321,31.716
-180.141,-167.771,14.197,31.783
-180.136,-168.712,14.078,31.85
-180.13,-169.646,13.975,31.917
-180.117,-170.574,13.899,31.984
-180.105,-171.499,13.851,32.051
-180.101,-172.422,13.837,32.118
-180.094,-173.345,13.847,32.185
-180.078,-174.269,13.862,32.252
-180.051,-175.195,13.886,32.319
-180.025,-176.121,13.9,32.386
-180.005,-177.048,13.887,32.453
-179.996,-177.972,13.854,32.52
-179.987,-178.893,13.796,32.587
-179.97,-179.809,13.714,32.654
-179.941,-180.718,13.615,32.721
-179.899,-181.62,13.509,32.788
-179.856,-182.515,13.406,32.855
-179.818,-183.403,13.316,32.922
-179.778,-184.287,13.25,32.989
-179.728,-185.167,13.207,33.056
-179.666,-186.045,13.18,33.123
-179.589,-186.92,13.173,33.19
-179.509,-187.795,13.181,33.257
-179.421,-188.67,13.192,33.324
-179.321,-189.544,13.196,33.391
-179.208,-190.416,13.178,33.458
-179.081,-191.285,13.146,33.525
-178.953,-192.149,13.09,33.592
-178.831,-193.01,13.02,33.659
-178.707,-193.865,12.941,33.726
-178.574,-194.713,12.858,33.793
-178.429,-195.554,12.777,33.86
-178.272,-196.388,12.7,33.927
-178.101,-197.214,12.639,33.994
-177.927,-198.037,12.614,34.061
-177.746,-198.859,12.634,34.128
-177.553,-199.682,12.678,34.195
-177.346,-200.505,12.754,34.262
-177.136,-201.334,12.856,34.329
-176.916,-202.168,12.978,34.396
-176.684,-203.008,13.1,34.463
-176.437,-203.853,13.246,34.53
-176.187,-204.707,13.389,34.597
-175.939,-205.572,13.552,34.664
-175.686,-206.447,13.723,34.731
-175.421,-207.33,13.897,34.798
-175.139,-208.221,14.072,34.865
-174.838,-209.117,14.244,34.932
-174.519,-210.019,14.394,34.999
-174.181,-210.924,14.538,35.066
-173.837,-211.834,14.644,35.133
-173.495,-212.752,14.729,35.2
-173.149,-213.673,14.79,35.267
-172.791,-214.593,14.828,35.334
-172.42,-215.509,14.853,35.401
-172.034,-216.421,14.875,35.468
-171.633,-217.33,14.918,35.535
-171.226,-218.24,14.975,35.602
-170.822,-219.156,15.058,35.669
-170.411,-220.076,15.158,35.736
-169.988,-220.999,15.271,35.803
-169.549,-221.924,15.384,35.87
-169.094,-222.85,15.519,35.937
-168.631,-223.781,15.651,36.004
-168.169,-224.724,15.798,36.071
-167.699,-225.674,15.953,36.138
-167.216,-226.629,16.099,36.205
-166.718,-227.587,16.258,36.272
-166.213,-228.553,16.401,36.339
-165.708,-229.53,16.54,36.406
-165.198,-230.513,16.664,36.473
-164.675,-231.498,16.76,36.54
-164.14,-232.482,16.848,36.607
-163.599,-233.47,16.915,36.674
-163.062,-234.463,16.982,36.741
-162.519,-235.46,17.05,36.808
-161.966,-236.456,17.117,36.875
-161.399,-237.451,17.205,36.942
-160.828,-238.45,17.307,37.009
-160.26,-239.459,17.407,37.076
-159.697,-240.48,17.527,37.143
-159.131,-241.509,17.655,37.21
-158.554,-242.541,17.786,37.277
-157.961,-243.575,17.912,37.344
-157.352,-244.609,18.056,37.411
-156.734,-245.65,18.205,37.478
-156.117,-246.703,18.353,37.545
-155.505,-247.769,18.493,37.612
-154.901,-248.852,18.649,37.679
-154.295,-249.945,18.807,37.746
-153.68,-251.045,18.948,37.813
-153.052,-252.148,19.092,37.88
-152.418,-253.258,19.227,37.947
-151.788,-254.38,19.343,38.014
-151.166,-255.514,19.425,38.081
-150.558,-256.659,19.45,38.148
-149.967,-257.811,19.415,38.215
-149.385,-258.96,19.302,38.282
-148.807,-260.1,19.13,38.349
-148.239,-261.23,18.918,38.416
-147.687,-262.351,18.69,38.483
-147.155,-263.466,18.47,38.55
-146.644,-264.577,18.28,38.617
-146.156,-265.688,18.138,38.684
-145.691,-266.8,18.042,38.751
-145.237,-267.911,17.976,38.818
-144.784,-269.02,17.946,38.885
-144.336,-270.13,17.945,38.952
-143.899,-271.245,17.966,39.019
-143.477,-272.369,18.006,39.086
-143.07,-273.502,18.061,39.153
-142.681,-274.645,18.13,39.22
-142.298,-275.796,18.215,39.287
-141.926,-276.956,18.311,39.354
-141.565,-278.128,18.414,39.421
-141.217,-279.311,18.535,39.488
-140.873,-280.504,18.652,39.555
-140.524,-281.703,18.782,39.622
-140.177,-282.912,18.916,39.689
-139.837,-284.133,19.052,39.756
-139.509,-285.366,19.187,39.823
-139.198,-286.613,19.312,39.89
-138.905,-287.871,19.402,39.957
-138.633,-289.138,19.436,40.024
-138.383,-290.407,19.396,40.091
-138.145,-291.671,19.262,40.158
-137.909,-292.923,19.053,40.225
-137.682,-294.159,18.793,40.292
-137.468,-295.38,18.507,40.359
-137.272,-296.584,18.223,40.426
-137.097,-297.774,17.968,40.493
-136.943,-298.954,17.764,40.56
-136.812,-300.125,17.61,40.627
-136.693,-301.288,17.495,40.694
-136.574,-302.445,17.422,40.761
-136.461,-303.601,17.386,40.828
-136.361,-304.756,17.379,40.895
-136.276,-305.913,17.397,40.962
-136.209,-307.074,17.434,41.029
-136.161,-308.239,17.5,41.096
-136.119,-309.409,17.571,41.163
-136.075,-310.584,17.662,41.23
-136.036,-311.766,17.761,41.297
-136.007,-312.954,17.849,41.364
-135.993,-314.146,17.901,41.431
